종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
069500,1,KODEX 200,34370,5,-5,-0.01,34434.0,-7.2325,2597940,89019,46451,국내 시장지수,KODEX,False,False,False
371460,4,TIGER 차이나전기차SOLACTIVE,12885,2,725,5.96,12923.0,-17.2227,6549652,82734,32826,해외 주식,TIGER,False,False,False
122630,3,KODEX 레버리지,17900,5,-30,-0.17,17969.0,-15.064,14604026,259889,21373,국내 파생,KODEX,False,True,False
252670,3,KODEX 200선물인버스2X,2745,2,5,0.18,2745.0,14.405,137224175,378899,20146,국내 파생,KODEX,True,False,False
133690,4,TIGER 미국나스닥100,71055,2,360,0.51,70460.0,-12.0359,107572,7630,20080,해외 주식,TIGER,False,False,False
214980,6,KODEX 단기채권PLUS,103895,2,10,0.01,103893.0,0.2944,4787,497,19889,채권,KODEX,False,False,False
102110,1,TIGER 200,34425,5,-5,-0.01,34488.0,-7.1192,379072,13010,18021,국내 시장지수,TIGER,False,False,False
157450,6,TIGER 단기통안채,100835,5,-5,0.0,100842.0,0.2485,1610533,162406,17861,채권,TIGER,False,False,False
360750,4,TIGER 미국S&P500,12870,5,-30,-0.23,12816.0,-6.0726,1166341,15003,15598,해외 주식,TIGER,False,False,False
153130,6,KODEX 단기채권,103410,2,5,0.0,103411.0,0.1937,1952460,201903,14911,채권,KODEX,False,False,False
273130,6,KODEX 종합채권(AA-이상)액티브,102810,2,210,0.2,102875.0,-3.358,988,101,14250,채권,KODEX,False,False,False
102780,2,KODEX 삼성그룹,8775,5,-70,-0.79,8781.0,-2.6418,298832,2619,14005,국내 업종/테마,KODEX,False,False,False
381180,4,TIGER 미국필라델피아반도체나스닥,10045,2,125,1.26,9940.0,-15.1847,996481,9971,13189,해외 주식,TIGER,False,False,False
381170,4,TIGER 미국테크TOP10 INDXX,10590,2,95,0.91,10509.0,-13.4076,569659,6010,12973,해외 주식,TIGER,False,False,False
305720,2,KODEX 2차전지산업,18985,5,-190,-0.99,18998.0,2.7654,1630059,31008,12758,국내 업종/테마,KODEX,False,False,False
310970,1,TIGER MSCI Korea TR,13960,5,-10,-0.07,13990.0,-8.2129,102,1,12606,국내 시장지수,TIGER,False,False,False
305540,2,TIGER 2차전지테마,19490,5,-125,-0.64,19507.0,3.6131,1394343,27213,12532,국내 업종/테마,TIGER,False,False,False
278530,1,KODEX 200TR,11450,5,-5,-0.04,11466.0,-7.2094,34497,393,11816,국내 시장지수,KODEX,False,False,False
292150,2,TIGER TOP10,11375,2,65,0.57,11393.0,-10.1668,646952,7318,11733,국내 업종/테마,TIGER,False,False,False
148020,1,KBSTAR 200,34570,2,10,0.03,34647.0,-7.4823,74880,2580,9662,국내 시장지수,KBSTAR,False,False,False
233740,3,KODEX 코스닥150레버리지,10125,2,340,3.47,10250.0,-11.8072,10495712,103988,8971,국내 파생,KODEX,False,True,False
114800,3,KODEX 인버스,4540,3,0,0.0,4546.0,7.4556,22583023,102942,8440,국내 파생,KODEX,True,False,False
139260,2,TIGER 200 IT,31000,5,-120,-0.39,31046.0,-9.5612,155404,4793,8122,국내 업종/테마,TIGER,False,False,False
278540,1,KODEX MSCI Korea TR,11125,3,0,0.0,11137.0,-8.3986,107686,1194,7732,국내 시장지수,KODEX,False,False,False
105190,1,KINDEX 200,34450,5,-5,-0.01,34525.0,-7.3093,25781,883,6959,국내 시장지수,KINDEX,False,False,False
091180,2,KODEX 자동차,18255,2,80,0.44,18276.0,-3.3862,152826,2769,6928,국내 업종/테마,KODEX,False,False,False
293180,1,HANARO 200,34440,5,-25,-0.07,34513.0,-7.1575,55007,1891,6578,국내 시장지수,HANARO,False,False,False
