종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
401590,4,HANARO 글로벌탄소배출권선물ICE(합성),9875,5,-145,-1.45,9912.0,0.3505,83,0,94,해외 주식,HANARO,False,False,False
488200,2,KOSEF K-2차전지북미공급망,9380,2,240,2.63,9406.0,,16723,157,94,국내 업종/테마,KOSEF,False,False,False
475310,2,SOL 반도체후공정,11610,2,400,3.57,11633.0,-21.581,8148,94,93,국내 업종/테마,SOL,False,False,False
460270,6,히어로즈 미국달러SOFR금리액티브(합성),11370,5,-70,-0.61,11366.0,1.5534,1832,20,92,채권,히어로즈,False,False,False
479850,2,HANARO K-뷰티,11400,2,155,1.38,11411.0,-8.4657,13664,155,91,국내 업종/테마,HANARO,False,False,False
102960,2,KODEX 기계장비,6900,2,110,1.62,6907.0,-1.7367,538,3,91,국내 업종/테마,KODEX,False,False,False
419420,4,KODEX 미국클린에너지나스닥,6030,2,170,2.9,6037.0,-5.0398,1095,6,90,해외 주식,KODEX,False,False,False
455660,6,ACE 미국하이일드액티브(H),10035,2,55,0.55,10056.0,1.4124,2678,26,90,채권,ACE,False,False,True
122090,1,PLUS 코스피50,24960,2,285,1.16,24947.0,-3.6773,7,0,90,국내 시장지수,PLUS,False,False,False
428560,4,KODEX 미국ETF산업Top10 Indxx,14945,2,95,0.64,14935.0,7.6711,3387,50,90,해외 주식,KODEX,False,False,False
368680,2,KODEX Fn K-뉴딜디지털플러스,7460,2,95,1.29,7431.0,-8.7361,10,0,90,국내 업종/테마,KODEX,False,False,False
395760,2,PLUS ESG성장주액티브,8525,2,70,0.83,8523.0,-4.3011,4,0,90,국내 업종/테마,PLUS,False,False,False
375760,2,HANARO 탄소효율그린뉴딜,8945,2,60,0.68,8965.0,-2.3198,9,0,89,국내 업종/테마,HANARO,False,False,False
452440,2,VITA 밸류알파액티브,12765,2,100,0.79,12743.0,-1.0161,15713,201,89,국내 업종/테마,VITA,False,False,False
131890,2,ACE 삼성그룹동일가중,17860,5,-45,-0.25,17905.0,-2.2387,136,2,89,국내 업종/테마,ACE,False,False,False
139660,7,KOSEF 미국달러선물인버스,8670,2,50,0.58,8679.0,-0.2315,30,0,88,기타,KOSEF,True,False,False
284980,2,RISE 200금융,11235,2,10,0.09,11261.0,4.4866,6005,67,88,국내 업종/테마,RISE,False,False,False
261110,7,TIGER 미국달러선물레버리지,14500,5,-160,-1.09,14502.0,2.1958,190,2,87,기타,TIGER,False,True,False
267490,6,RISE 미국장기국채선물레버리지(합성 H),6650,2,75,1.14,6654.0,11.9148,1310,8,86,채권,RISE,False,True,True
488210,2,KOSEF K-반도체북미공급망,8600,2,265,3.18,8637.0,,3873,33,86,국내 업종/테마,KOSEF,False,False,False
446690,4,KODEX 아시아AI반도체exChina액티브,17170,2,220,1.3,17406.0,-6.7657,343,5,86,해외 주식,KODEX,False,False,False
292160,1,TIGER KRX300,17110,2,210,1.24,17141.0,-3.2739,2,0,86,국내 시장지수,TIGER,False,False,False
385710,2,TIMEFOLIO K이노베이션액티브,7765,2,90,1.17,7764.0,-6.0013,5007,38,85,국내 업종/테마,TIMEFOLIO,False,False,False
464060,4,HANARO 글로벌반도체TOP10 SOLACTIVE,15485,2,545,3.65,15465.0,2.6945,2240,34,85,해외 주식,HANARO,False,False,False
379790,4,RISE 유로스탁스50(H),13100,2,80,0.61,13019.0,-7.1989,25,0,85,해외 주식,RISE,False,False,True
139320,5,TIGER 금은선물(H),11340,2,70,0.62,11377.0,1.9448,339,3,85,원자재,TIGER,False,False,True
487130,2,KoAct AI인프라액티브,8480,2,250,3.04,8494.0,,5933,50,85,국내 업종/테마,KoAct,False,False,False
399580,4,RISE 글로벌클린에너지,7040,2,160,2.33,7067.0,-2.962,172,1,84,해외 주식,RISE,False,False,False
225060,4,TIGER 이머징마켓MSCI레버리지(합성 H),7655,2,20,0.26,7819.0,-3.0477,267,2,84,해외 주식,TIGER,False,True,True
467540,1,KOSEF 코스닥글로벌,12025,2,95,0.8,12063.0,1.3163,9,0,84,국내 시장지수,KOSEF,False,False,False
