itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,38595,5,-400,-1.03,38604.0,-10.3399,694077,26883,52933
371460,4,TIGER 차이나전기차SOLACTIVE,19565,5,-70,-0.36,,10.0616,448092,8772,23149
252670,3,KODEX 200선물인버스2X,2325,2,45,1.97,2326.0,22.252,51724896,119297,21881
102110,1,TIGER 200,38605,5,-405,-1.04,38622.0,-10.3116,122483,4746,20750
153130,6,KODEX 단기채권,102950,2,5,0.0,102947.0,0.0875,958,98,20148
122630,3,KODEX 레버리지,22635,5,-465,-2.01,22650.0,-19.8474,5310870,121010,17565
102780,2,KODEX 삼성그룹,9705,5,-115,-1.17,9720.0,-8.9054,50993,496,16207
214980,6,KODEX 단기채권PLUS,103225,2,5,0.0,103225.0,0.0581,147989,15276,16076
157450,6,TIGER 단기통안채,100395,3,0,0.0,100395.0,0.1396,520,52,16033
133690,4,TIGER 미국나스닥100,86450,5,-345,-0.4,,12.4214,58920,5095,15993
278540,1,KODEX MSCI Korea TR,12350,5,-160,-1.28,12373.0,-10.4831,292507,3626,15191
273130,6,KODEX 종합채권(AA-이상)액티브,107580,2,205,0.19,107595.0,-2.2264,226,24,15096
310970,1,TIGER MSCI Korea TR,15545,5,-160,-1.02,15532.0,-10.5893,749,11,13602
305720,2,KODEX 2차전지산업,23280,5,-145,-0.62,23341.0,11.6805,2444376,57360,13083
305540,2,TIGER 2차전지테마,22955,5,-85,-0.37,23027.0,13.8621,645465,14914,12774
278530,1,KODEX 200TR,12665,5,-150,-1.17,12679.0,-10.2906,16372,207,12462
292150,2,TIGER TOP10,13310,5,-215,-1.59,13315.0,-10.2522,70387,939,12378
114800,3,KODEX 인버스,4145,2,45,1.1,4145.0,10.8108,10785888,44520,11793
148020,1,KBSTAR 200,38690,5,-405,-1.04,38751.0,-10.2771,12862,499,10524
139260,2,TIGER 200 IT,34670,5,-500,-1.42,34724.0,-10.4064,76207,2654,9486
381170,4,TIGER 미국테크TOP10 INDXX,13000,5,-35,-0.27,,14.8458,449577,5842,8593
360750,4,TIGER 미국S&P500,13955,2,15,0.11,,10.0149,173496,2420,7926
091180,2,KODEX 자동차,21690,5,-170,-0.78,21728.0,-6.7407,36225,786,7808
152100,1,ARIRANG 200,39285,5,-320,-0.81,39265.0,-10.1622,3406,133,7661
233740,1,KODEX 코스닥150 레버리지,15195,5,-595,-3.77,15362.0,-1.4358,2888411,44766,7187
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),12520,5,-60,-0.48,,14.1043,235593,2948,7161
105190,1,KINDEX 200,38875,5,-350,-0.89,38865.0,-10.2916,738,28,6725
381180,4,TIGER 미국필라델피아반도체나스닥,11960,2,95,0.8,,11.6705,383324,4582,6267
293180,1,HANARO 200,38620,5,-390,-1.0,38633.0,-10.3343,7887,305,5909
364980,2,TIGER KRX2차전지K-뉴딜,17550,5,-185,-1.04,17561.0,1.4008,308495,5443,5651
069660,1,KOSEF 200,38580,5,-420,-1.08,38621.0,-10.3346,558,21,5536
314250,4,KODEX 미국FANG플러스(H),31380,5,-370,-1.17,,11.56,84406,2650,4848
251340,3,KODEX 코스닥150선물인버스,4280,2,80,1.9,4286.0,-1.6394,9529369,40381,4802
315930,2,KODEX Top5PlusTR,18045,5,-180,-0.99,18010.0,-8.532,619,11,4692
294400,1,KOSEF 200TR,46040,5,-500,-1.07,46088.0,-10.293,1044,48,4650
360200,4,KINDEX 미국S&P500,14045,3,0,0.0,,10.2692,90489,1271,4424
196230,6,KBSTAR 단기통안채,104650,2,15,0.01,104656.0,0.1243,171587,17957,3780
364960,2,TIGER KRX BBIG K-뉴딜,11785,5,-360,-2.96,11806.0,-11.8651,150398,1783,3759
385540,6,KBSTAR KIS종합채권(A-이상)액티브,99355,2,240,0.24,99293.0,-2.1425,1,0,3758
226490,1,KODEX 코스피,29550,5,-370,-1.24,29569.0,-9.0163,7671,227,3694
251350,4,KODEX 선진국MSCI World,21435,5,-20,-0.09,,7.8411,5965,127,3558
229200,1,KODEX 코스닥 150,14530,5,-270,-1.82,14699.0,-0.5377,711550,10411,3465
332500,1,KINDEX 200TR,23650,5,-215,-0.9,23632.0,-10.3831,92,2,3429
091170,2,KODEX 은행,7310,5,-90,-1.22,7313.0,0.8174,583996,4265,3406
290130,2,KBSTAR ESG사회책임투자,12625,5,-100,-0.79,12636.0,-9.8158,42385,535,3289
371160,4,TIGER 차이나항셍테크,8200,5,-130,-1.56,,-2.8005,75519,619,3255
367770,2,KBSTAR Fn수소경제테마,11800,5,-125,-1.05,11812.0,-4.5237,47101,556,3245
367380,4,KINDEX 미국나스닥100,14845,5,-45,-0.3,,12.3264,76525,1135,3147
143850,4,TIGER 미국S&P500선물(H),54805,2,95,0.17,,6.4396,28429,1558,2836
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),19680,5,-35,-0.18,,2.4954,7212,141,2598
357870,7,TIGER CD금리투자KIS(합성),50490,2,15,0.03,50474.0,0.1885,11,0,2577
272560,6,KBSTAR 단기국공채액티브,102175,2,30,0.03,102166.0,0.044,1339,136,2554
385550,6,KBSTAR KIS단기종합채권(AA-이상)액티브,100095,2,5,0.0,100088.0,0.0799,6,0,2547
332940,1,HANARO MSCI Korea TR,15495,5,-210,-1.34,15520.0,-10.5638,9,0,2510
295040,1,SOL 200TR,13225,5,-90,-0.68,13195.0,-10.3066,7566,100,2440
108450,2,KINDEX 삼성그룹섹터가중,16140,5,-190,-1.16,16172.0,-8.1553,2664,43,2373
132030,5,KODEX 골드선물(H),12260,2,110,0.91,,-0.978,48153,590,2305
192090,4,TIGER 차이나CSI300,11860,5,-60,-0.5,,2.8472,8671,102,2301
091160,2,KODEX 반도체,33320,5,-540,-1.59,33339.0,-13.1907,37614,1257,2299
245710,4,KINDEX 베트남VN30(합성),23350,5,-100,-0.43,,8.4142,9667,225,2288
168580,4,KINDEX 중국본토CSI300,31440,5,-390,-1.23,,2.4625,162,5,2232
148070,6,KOSEF 국고채10년,118665,2,360,0.3,118632.0,-3.4994,1130,134,2195
161510,2,ARIRANG 고배당주,12500,5,-85,-0.68,12496.0,0.0397,39796,498,2081
326240,2,KBSTAR IT플러스,21375,5,-245,-1.13,21445.0,-7.1705,1234,26,2048
332930,1,HANARO 200TR,46105,5,-490,-1.05,46116.0,-10.2649,12,0,1983
329750,6,TIGER 미국달러단기채권액티브,10130,5,-15,-0.15,,3.6791,12711,128,1920
261220,5,KODEX WTI원유선물(H),12545,2,440,3.63,,17.3533,123040,1538,1919
272580,6,TIGER 단기채권액티브,50200,2,10,0.02,50193.0,0.1296,902,45,1906
190620,6,KINDEX 단기통안채,100550,2,5,0.0,100547.0,0.1543,103,10,1844
379810,4,KODEX 미국나스닥100TR,12705,5,-45,-0.35,,12.2853,130223,1654,1842
400970,2,TIGER Fn메타버스,12045,2,75,0.63,12092.0,,480493,5768,1759
390950,6,HANARO 단기채권액티브,100225,3,0,0.0,100231.0,0.1248,0,0,1748
325020,2,KODEX 배당가치,12815,5,-100,-0.77,12816.0,-5.7644,268,3,1743
379800,4,KODEX 미국S&P500TR,12225,2,5,0.04,,10.239,90926,1111,1736
182480,7,TIGER 미국MSCI리츠(합성 H),15720,2,95,0.61,,4.3127,4325,68,1729
302450,1,KBSTAR 코스피,29585,5,-355,-1.19,29579.0,-9.1764,32,0,1672
394660,4,TIGER 글로벌자율주행&전기차SOLACTIVE,12125,5,-10,-0.08,,14.7517,103636,1258,1649
278240,1,KBSTAR 코스닥150선물레버리지,15655,5,-610,-3.75,15628.0,-0.6111,8927,142,1622
