itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
270810,1,KBSTAR 코스닥150,14475,5,-295,-2.0,14636.0,-0.371,2274,33,1586
232080,1,TIGER 코스닥150,14750,5,-305,-2.03,14909.0,-0.4299,9223,137,1572
372330,4,KODEX 차이나항셍테크,8215,5,-135,-1.62,,-2.9634,49035,402,1553
385560,6,KBSTAR KIS국고채30년Enhanced,99010,2,1215,1.24,99031.0,-9.8714,308,30,1545
368590,4,KBSTAR 미국나스닥100,14390,5,-60,-0.42,,12.3639,40514,583,1525
401470,2,KODEX K-메타버스액티브,12590,2,15,0.12,12606.0,,412374,5178,1460
143860,2,TIGER 헬스케어,35830,5,-1820,-4.83,36000.0,-15.7624,24150,875,1448
228800,2,TIGER 여행레저,5375,2,155,2.97,5376.0,-4.5704,1019337,5506,1411
150460,2,TIGER 중국소비테마,8375,2,45,0.54,8392.0,-8.6623,2909,24,1410
252710,3,TIGER 200선물인버스2X,2420,2,50,2.11,2419.0,22.4806,2645192,6345,1362
138540,2,TIGER 현대차그룹+펀더멘털,24860,5,-190,-0.76,24884.0,-7.5987,7756,193,1347
219480,4,KODEX 미국S&P500선물(H),22580,2,55,0.24,,6.5263,11036,249,1344
091230,2,TIGER 반도체,34205,5,-630,-1.81,34247.0,-12.9125,15008,517,1320
267770,3,TIGER 200선물레버리지,17010,5,-370,-2.13,17027.0,-20.1837,270683,4668,1259
322400,2,HANARO e커머스,18580,5,-55,-0.3,18626.0,-9.2967,5342,99,1208
309230,2,KINDEX 미국WideMoat가치주,18450,2,45,0.24,,6.1418,128001,2360,1199
204480,4,TIGER 차이나CSI300레버리지(합성),31445,5,-280,-0.88,,4.3585,4230,132,1163
395750,2,ARIRANG ESG가치주액티브,9200,5,-80,-0.86,9212.0,-8.391,322,2,1159
261240,7,KODEX 미국달러선물,10465,5,-20,-0.19,10472.0,3.4533,26083,272,1156
367760,2,KBSTAR Fn5G테크,9905,5,-20,-0.2,9920.0,-14.5134,17603,174,1144
273140,6,KODEX 단기변동금리부채권액티브,102790,5,-5,0.0,102791.0,0.1558,11,1,1142
130730,6,KOSEF 단기자금,101265,3,0,0.0,101267.0,0.1037,93012,9419,1117
329200,2,TIGER 부동산인프라고배당,5930,5,-5,-0.08,5948.0,3.0024,56071,332,1109
298770,4,KODEX 한국대만IT프리미어,19665,5,-65,-0.33,,-5.3036,2324,45,1101
228810,2,TIGER 미디어컨텐츠,10260,2,80,0.79,10261.0,16.21,220993,2253,1093
114260,6,KODEX 국고채3년,57455,2,65,0.11,57421.0,-1.1029,163,9,1065
139220,2,TIGER 200 건설,3115,5,-35,-1.11,3123.0,-5.5473,172940,539,1053
325010,2,KODEX Fn성장,17435,2,25,0.14,17154.0,-9.2047,277,4,1046
225040,4,TIGER 미국S&P500레버리지(합성 H),37110,2,110,0.3,,11.8838,7596,281,1039
328370,1,ARIRANG 코스피TR,14835,5,-155,-1.03,14817.0,-8.9584,5,0,1031
329650,7,KODEX TRF3070,11515,2,25,0.22,11486.0,0.657,9555,110,1025
283580,4,KODEX 차이나CSI300,14360,5,-130,-0.9,,2.8753,1449,20,1005
144600,5,KODEX 은선물(H),4945,2,50,1.02,,-6.4054,32271,159,1004
136340,6,KBSTAR 중기우량회사채,103990,2,10,0.01,104050.0,-1.1832,47,4,978
157490,2,TIGER 소프트웨어,17240,5,-160,-0.92,17279.0,-10.0311,40999,712,976
364970,2,TIGER KRX바이오K-뉴딜,8270,5,-615,-6.92,8292.0,-17.1562,402744,3373,910
117700,2,KODEX 건설,3510,5,-25,-0.71,3517.0,-7.9428,111059,389,906
371470,4,TIGER 차이나바이오테크SOLACTIVE,10675,5,-140,-1.29,,-17.1265,10338,110,901
122260,6,KOSEF 통안채1년,101180,2,45,0.04,101188.0,-0.1038,6,0,901
304940,4,KODEX 미국나스닥100선물(H),20685,5,-50,-0.24,,8.3616,7539,156,900
139280,2,TIGER 경기방어,10920,5,-255,-2.28,10931.0,-10.6358,3894,42,889
306520,3,HANARO 200선물인버스,9545,2,95,1.01,9544.0,10.8504,1468,13,854
195930,4,TIGER 유로스탁스50(합성 H),14810,2,5,0.03,,5.0,1968,29,844
387270,4,TIGER 글로벌BBIG액티브,12685,5,-55,-0.43,,9.2624,24945,316,844
266160,2,KBSTAR 고배당,12250,5,-45,-0.37,12260.0,-4.9479,6213,76,790
174360,4,KBSTAR 중국본토대형주CSI100,21150,5,-230,-1.08,,4.2926,991,20,783
195980,4,ARIRANG 신흥국MSCI(합성 H),12125,3,0,0.0,,-2.9612,4776,57,754
227830,1,ARIRANG 코스피,30200,5,-360,-1.18,30163.0,-8.4208,181,5,740
385510,2,KODEX K-신재생에너지액티브,12100,2,55,0.46,12110.0,11.065,18745,227,732
387280,2,TIGER 퓨처모빌리티액티브,11565,5,-30,-0.26,11569.0,4.3654,23492,273,722
245340,4,TIGER 미국다우존스30,21785,2,110,0.51,,7.5682,2546,55,719
376410,2,TIGER 탄소효율그린뉴딜,9440,5,-85,-0.89,9453.0,-9.0953,6518,61,708
123310,3,TIGER 인버스,4590,2,45,0.99,4594.0,10.8536,62347,285,707
385520,2,KODEX K-미래차액티브,10990,2,30,0.27,11009.0,0.137,20346,223,703
404540,2,TIGER KRX기후변화솔루션,9865,5,-130,-1.3,9902.0,,10622,105,691
305080,6,TIGER 미국채10년선물,12090,2,25,0.21,,1.0892,8474,102,689
114820,6,TIGER 국채3년,109265,2,95,0.09,109297.0,-1.1455,112,12,688
130680,5,TIGER 원유선물Enhanced(H),3800,2,140,3.83,,17.3076,83519,316,654
396510,4,TIGER 차이나클린에너지SOLACTIVE,11020,5,-100,-0.9,,,17147,189,652
256750,4,KODEX 차이나심천ChiNext(합성),15120,5,-10,-0.07,,-0.2308,680,10,650
302190,6,TIGER 중장기국채,51600,2,50,0.1,51673.0,-2.2935,58,2,650
365000,2,TIGER KRX인터넷K-뉴딜,11830,5,-145,-1.21,11848.0,-6.9903,19797,235,645
363510,6,SOL KIS단기통안채,100500,3,0,0.0,100495.0,0.1594,0,0,633
277630,1,TIGER 코스피,29900,5,-300,-0.99,29878.0,-8.9539,301,9,628
245360,4,TIGER 차이나HSCEI,11000,5,-175,-1.57,,-0.9309,1052,11,627
233160,1,TIGER 코스닥150 레버리지,16215,5,-645,-3.83,16363.0,-1.0854,28550,469,624
379780,4,KBSTAR 미국S&P500,12130,3,0,0.0,,10.0226,17973,217,619
368190,2,HANARO Fn K-뉴딜디지털플러스,11980,5,-315,-2.56,12002.0,-10.1572,5750,69,617
354350,4,HANARO 글로벌럭셔리S&P(합성),20275,2,220,1.1,,8.9945,17515,355,598
139230,2,TIGER 200 중공업,3435,5,-25,-0.72,3433.0,-7.2387,136626,469,596
200250,4,KOSEF 인도Nifty50(합성),19475,2,45,0.23,,13.8921,6735,131,594
395760,2,ARIRANG ESG성장주액티브,9410,5,-70,-0.74,9406.0,-6.555,10,0,574
102970,2,KODEX 증권,7870,5,-65,-0.82,7887.0,-4.5701,41853,330,551
315960,2,KBSTAR 대형고배당10TR,15350,5,-145,-0.94,15330.0,-8.9868,5538,84,545
371450,4,TIGER 글로벌클라우드컴퓨팅INDXX,13265,5,-235,-1.74,,15.3846,12235,162,541
385720,1,TIMEFOLIO Kstock액티브,10380,5,-20,-0.19,10389.0,-0.1441,88,0,540
363580,2,KODEX 200IT TR,13100,5,-170,-1.28,13130.0,-10.1558,10,0,537
266360,2,KODEX 미디어&엔터테인먼트,25375,5,-175,-0.68,25400.0,-2.3319,12988,331,533
289260,2,TIGER MSCI KOREA ESG리더스,11150,5,-95,-0.84,11163.0,-8.3164,47926,534,518
337160,2,KODEX 200ESG,13850,5,-145,-1.04,13868.0,-9.7097,158,2,512
114460,6,KINDEX 국고채3년,105355,3,0,0.0,105405.0,-1.0752,3,0,506
388280,2,KBSTAR Fn컨택트대표,10175,2,115,1.14,10189.0,1.7189,26719,271,501
336160,6,KBSTAR 금융채액티브,102095,2,90,0.09,102065.0,-1.0477,1,0,500
117680,2,KODEX 철강,8385,5,-140,-1.64,8404.0,-16.626,74186,624,493
404260,2,KODEX KRX기후변화솔루션,9845,5,-85,-0.86,9862.0,,3729,36,492
363570,6,KODEX 장기종합채권(AA-이상)액티브KAP,93940,3,0,0.0,94732.0,-4.1869,0,0,492
099140,4,KODEX 차이나H,18810,5,-190,-1.0,,-0.8092,1045,19,489
219390,4,KBSTAR 미국S&P원유생산기업(합성 H),4885,2,135,2.84,,30.1369,96459,471,489
266370,2,KODEX IT,19790,5,-230,-1.15,19820.0,-7.8482,673,13,475
256440,4,KINDEX 인도네시아MSCI(합성),9295,5,-45,-0.48,,16.8961,3236,30,474
356540,6,KINDEX KIS종합채권(AA-이상)액티브,97110,5,-10,-0.01,97376.0,-2.2643,1,0,471
228790,2,TIGER 화장품,3135,5,-35,-1.1,3139.0,-15.1272,91561,287,460
304780,1,HANARO 200선물레버리지,24700,5,-515,-2.04,24679.0,-20.2814,165,4,457
375770,2,KODEX 탄소효율그린뉴딜,9460,5,-60,-0.63,9469.0,-9.2037,975,9,454
292190,1,KODEX KRX300,18000,5,-185,-1.02,17987.0,-9.2112,1486,26,450
361580,1,KBSTAR 200TR,19865,5,-205,-1.02,19880.0,-10.3017,1318,26,437
341850,7,TIGER KIS부동산인프라채권TR,5710,5,-35,-0.61,5730.0,1.9339,1445,8,434
203780,4,TIGER 미국나스닥바이오,21540,5,-690,-3.1,,-0.3586,7056,151,431
391600,4,KINDEX 미국친환경그린테마INDXX,11720,5,-85,-0.72,,19.4233,38227,449,410
269540,4,ARIRANG 미국S&P500(H),19385,2,50,0.26,,7.1784,7024,136,407
243880,2,TIGER 200IT레버리지,53350,5,-1565,-2.85,53566.0,-20.8033,1906,102,400
204450,4,KODEX 차이나H레버리지(H),4620,5,-40,-0.86,,-10.0387,20865,96,397
280930,4,KODEX 미국러셀2000(H),15800,2,160,1.02,,9.6389,18239,288,379
326230,2,KBSTAR 내수주플러스,10065,5,-80,-0.79,10092.0,-9.2171,2,0,376
396500,2,TIGER Fn반도체TOP10,8505,5,-160,-1.85,8527.0,,86132,736,374
276970,4,KODEX 미국S&P고배당커버드콜(합성 H),10390,2,15,0.14,,1.5762,2133,22,374
139270,2,TIGER 200 금융,6840,5,-95,-1.37,6859.0,-1.0135,17855,122,372
276650,4,KBSTAR 글로벌4차산업IT(합성 H),24685,2,35,0.14,,4.5155,12525,310,370
396520,4,TIGER 차이나반도체FACTSET,9730,5,-90,-0.92,,,10277,99,370
304770,1,HANARO 코스닥150,14540,5,-300,-2.02,14701.0,-0.4695,11,0,369
123320,3,TIGER 레버리지,21495,5,-445,-2.03,21486.0,-20.1747,16697,360,365
400570,4,KODEX 유럽탄소배출권선물ICE(H),9615,5,-50,-0.52,,,25413,244,364
252420,3,KBSTAR 200선물인버스2X,2320,2,50,2.2,2323.0,21.7158,190477,439,355
138230,7,KOSEF 미국달러선물,12430,5,-30,-0.24,12443.0,3.5743,3292,40,352
385600,2,네비게이터 친환경자동차밸류체인액티브,11170,2,5,0.04,11152.0,2.7611,207,2,346
279530,2,KODEX 고배당,10130,5,-50,-0.49,10139.0,1.9529,621,6,344
364990,2,TIGER KRX게임K-뉴딜,11870,5,-100,-0.84,11906.0,-4.5455,23962,285,338
385710,2,TIMEFOLIO BBIG액티브,11510,5,-240,-2.04,11521.0,3.6612,9588,110,334
282000,3,KBSTAR 국고채3년선물인버스,101045,5,-140,-0.14,101029.0,1.3623,1,0,333
114470,6,KOSEF 국고채3년,110990,2,175,0.16,110960.0,-1.2256,21,2,333
310960,1,TIGER 200TR,20660,5,-210,-1.01,20652.0,-10.2945,173,3,331
385590,2,네비게이터 ESG액티브,9360,5,-50,-0.53,9340.0,-7.6999,141,1,328
359210,1,KODEX 코스피TR,13635,5,-130,-0.94,13623.0,-9.4706,54,0,327
287180,4,ARIRANG 미국나스닥기술주,26720,5,-60,-0.22,,11.0512,1758,46,321
332620,6,ARIRANG 미국장기우량회사채,104705,2,100,0.1,,1.6618,256,26,319
337140,2,KODEX 코스피대형주,13640,5,-125,-0.91,13653.0,-10.3258,122,1,314
169950,4,KODEX 차이나A50,22345,5,-115,-0.51,,5.4955,448,10,313
272570,6,KBSTAR 중장기국공채액티브,101975,3,0,0.0,102129.0,-1.815,0,0,311
244580,2,KODEX 바이오,12895,5,-525,-3.91,12976.0,-12.4593,18576,242,309
390390,4,KODEX 미국반도체MV,11870,2,10,0.08,,12.684,20772,246,309
225800,3,KOSEF 미국달러선물레버리지,9595,5,-25,-0.26,9602.0,6.8888,41554,398,304
217780,4,TIGER 차이나CSI300인버스(합성),7480,2,45,0.61,,-3.2531,93,0,299
236350,4,TIGER 인도니프티50레버리지(합성),27160,2,155,0.57,,27.0524,273,7,299
227540,2,TIGER 200 헬스케어,21750,5,-1125,-4.92,21756.0,-12.7075,17651,387,296
319640,4,TIGER 골드선물(H),13120,2,130,1.0,,-0.764,7931,104,289
381560,2,HANARO Fn전기&수소차,9930,5,-70,-0.7,9927.0,-5.5713,18893,187,288
181480,7,KINDEX 미국다우존스리츠(합성 H),99795,5,-300,-0.3,,4.0921,1249,124,279
137610,5,TIGER 농산물선물Enhanced(H),6520,5,-25,-0.38,,0.5376,2747,17,274
213630,4,ARIRANG 미국다우존스고배당주(합성 H),15825,2,170,1.09,,2.2534,2325,36,274
354500,1,KINDEX 코스닥150,14830,5,-130,-0.87,14699.0,0.268,31,0,267
277540,4,KINDEX S&P아시아TOP50,14750,5,-55,-0.37,,-0.8705,509,7,266
252410,3,KBSTAR 200선물인버스,5345,2,40,0.75,5356.0,10.8672,2569,13,262
239660,6,ARIRANG 우량회사채50 1년,108410,2,25,0.02,108424.0,-0.175,168,18,260
152870,1,파워 200,39565,5,-340,-0.85,39533.0,-9.984,28,1,257
331910,2,KOSEF Fn중소형,24185,5,-65,-0.27,24148.0,-9.4474,8,0,256
266420,2,KODEX 헬스케어,15680,5,-765,-4.65,15770.0,-15.8609,8898,140,251
253250,3,KOSEF 200선물레버리지,20300,5,-435,-2.1,20302.0,-20.4031,748,15,248
160580,5,TIGER 구리실물,10500,5,-120,-1.13,,5.7242,5237,54,247
252400,3,KBSTAR 200선물레버리지,20560,5,-470,-2.23,20612.0,-20.341,3287,68,247
218420,4,KODEX 미국S&P에너지(합성),8095,2,115,1.44,,21.5536,15430,125,246
248270,4,TIGER S&P글로벌헬스케어(합성),18600,5,-200,-1.06,,4.4154,1454,26,242
250780,3,TIGER 코스닥150선물인버스,4390,2,85,1.97,4391.0,-1.6,205041,892,239
261250,7,KODEX 미국달러선물레버리지,10075,5,-30,-0.3,10086.0,6.7617,28588,287,238
365040,1,TIGER AI코리아그로스액티브,13050,5,-120,-0.91,13047.0,-8.9527,226,2,235
114100,6,KBSTAR 국고채3년,111485,2,45,0.04,111505.0,-1.0434,57,6,234
176950,6,KODEX 국채선물10년인버스,47920,5,-150,-0.31,47926.0,3.7108,9,0,233
292160,1,TIGER KRX300,17910,5,-140,-0.78,17936.0,-9.4649,224,4,233
332610,6,ARIRANG 미국단기우량회사채,100090,5,-180,-0.18,,3.116,278,27,230
230480,3,KOSEF 미국달러선물인버스2X,7780,2,25,0.32,7774.0,-7.1258,50,0,230
266410,2,KODEX 필수소비재,8795,5,-20,-0.23,8800.0,-10.9596,1504,13,229
304660,6,KODEX 미국채울트라30년선물(H),12640,2,130,1.04,,-2.2657,3417,43,228
322410,2,HANARO 고배당,11035,5,-30,-0.27,11048.0,-2.8108,68,0,226
168300,1,KTOP 코스피50,27325,5,-270,-0.98,27304.0,-10.3913,17,0,225
276990,4,KODEX 글로벌4차산업로보틱스(합성),19940,5,-215,-1.07,,12.0967,8679,173,223
225130,4,KINDEX 골드선물 레버리지(합성 H),17145,2,345,2.05,,-2.8341,6718,115,223
285690,2,FOCUS ESG리더스,11100,5,-50,-0.45,11126.0,-7.6987,69,0,216
329660,7,KODEX TRF5050,12620,5,-5,-0.04,12664.0,2.7257,25699,324,215
237370,7,KODEX 배당성장채권혼합,11895,5,-60,-0.5,11946.0,-2.0082,588,7,214
377990,2,TIGER Fn신재생에너지,10105,5,-35,-0.35,10125.0,-2.6872,10955,110,212
397410,6,KBSTAR 국채선물5년추종인버스,51005,5,-105,-0.21,50993.0,,1,0,211
210780,2,TIGER 코스피고배당,15245,5,-95,-0.62,15246.0,3.0844,965,14,210
329670,7,KODEX TRF7030,13845,3,0,0.0,13849.0,5.0853,1877,25,208
138520,2,TIGER 삼성그룹펀더멘털,11520,5,-85,-0.73,11532.0,-10.5933,690,7,207
227570,2,TIGER 우량가치,12210,5,-70,-0.57,12213.0,-4.9168,25,0,201
152380,6,KODEX 국채선물10년,68385,2,260,0.38,68376.0,-3.6218,233,15,201
371130,4,KINDEX 블룸버그베트남VN30선물레버리지(H),22280,2,175,0.79,,8.1193,589,13,201
138910,5,KODEX 구리선물(H),8005,2,115,1.46,,-0.8794,8699,69,200
278620,6,ARIRANG 단기채권액티브,105825,3,0,0.0,105853.0,-0.1981,0,0,200
211900,2,KODEX 배당성장,15330,5,-115,-0.74,15331.0,-4.0386,403,6,199
404120,2,TIMEFOLIO 탄소중립액티브,9880,5,-60,-0.6,9888.0,,1310,12,198
352560,7,KODEX 다우존스미국리츠(H),15000,2,75,0.5,,3.7899,11999,179,195
238720,4,KINDEX 일본Nikkei225(H),19485,5,-10,-0.05,,7.4696,71,1,195
388420,2,KBSTAR 비메모리반도체액티브,9650,5,-105,-1.08,9657.0,-8.0151,8384,81,193
368680,2,KODEX Fn K-뉴딜디지털플러스,12050,5,-225,-1.83,12020.0,-10.0733,194,2,193
337150,2,KODEX 200exTOP,13680,3,0,0.0,13516.0,-8.311,0,0,192
140710,2,KODEX 운송,5885,2,35,0.6,5892.0,-15.2174,39674,234,188
117460,2,KODEX 에너지화학,19160,5,-165,-0.85,19183.0,-2.325,1921,36,188
143460,2,KINDEX 밸류대형,9385,5,-60,-0.64,9390.0,-8.301,11,0,188
292730,1,FOCUS KRX300,18220,3,0,0.0,18067.0,-9.3758,0,0,182
400590,4,SOL 글로벌탄소배출권선물IHS(합성),10090,5,-75,-0.74,,,3823,38,182
139250,2,TIGER 200 에너지화학,19540,5,-230,-1.16,19553.0,-4.8376,49194,961,180
306950,3,KODEX KRX300레버리지,17885,5,-280,-1.54,18011.0,-18.8701,1663,29,179
289040,2,KODEX MSCI KOREA ESG유니버설,11670,5,-35,-0.3,11605.0,-9.7533,15,0,175
280320,4,KINDEX 미국IT인터넷S&P(합성 H),21515,2,130,0.61,,1.0155,146,3,172
211560,2,TIGER 배당성장,18995,5,-75,-0.39,18990.0,-4.6262,477,9,171
300640,2,KBSTAR 게임테마,20045,3,0,0.0,20066.0,25.3595,26558,529,170
091220,2,TIGER 은행,7620,5,-115,-1.49,7628.0,1.0318,183754,1398,169
225050,4,TIGER 유로스탁스레버리지(합성 H),11140,2,75,0.68,,8.4803,146,1,167
390400,4,KODEX 미국스마트모빌리티S&P,10400,5,-10,-0.1,,12.419,2979,31,166
140700,2,KODEX 보험,6635,5,-45,-0.67,6634.0,-1.3294,29122,193,166
276000,4,TIGER 글로벌자원생산기업(합성 H),13730,5,-5,-0.04,,3.193,174,2,165
241180,4,TIGER 일본니케이225,18300,3,0,0.0,,7.2056,964,17,165
395290,2,HANARO Fn K-POP&미디어,11335,2,35,0.31,11391.0,14.8957,79958,905,164
360140,2,KODEX 200롱코스닥150숏선물,10255,5,-20,-0.19,10373.0,-11.5369,72,0,164
292500,1,SOL KRX300,18140,5,-40,-0.22,18012.0,-9.2588,10,0,163
237350,1,KODEX 코스피100,29645,5,-260,-0.87,29660.0,-10.4909,255,7,163
316670,1,KOSEF 코스닥150,7225,5,-155,-2.1,7313.0,-0.8065,7049,51,160
245350,4,TIGER 유로스탁스배당30,13305,5,-35,-0.26,,4.048,362,4,160
304760,1,HANARO KRX300,17695,5,-195,-1.09,17734.0,-9.3535,6,0,159
102960,2,KODEX 기계장비,6005,5,-40,-0.66,6015.0,-1.7872,4575,27,159
