itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,39035,3,0,0.0,39068.0,-7.6183,0,0,52678
371460,4,TIGER 차이나전기차SOLACTIVE,20280,3,0,0.0,,13.1065,0,0,25107
102110,1,TIGER 200,39050,3,0,0.0,39087.0,-7.5368,0,0,21341
252670,3,KODEX 200선물인버스2X,2270,3,0,0.0,2266.0,14.9367,0,0,21274
153130,6,KODEX 단기채권,102975,3,0,0.0,102972.0,0.1166,0,0,19947
122630,3,KODEX 레버리지,23130,3,0,0.0,23188.0,-15.0102,0,0,19013
102780,2,KODEX 삼성그룹,9750,3,0,0.0,9773.0,-9.2179,0,0,16234
157450,6,TIGER 단기통안채,100410,3,0,0.0,100411.0,0.1446,0,0,16029
133690,4,TIGER 미국나스닥100,84905,3,0,0.0,,8.8469,0,0,15877
278540,1,KODEX MSCI Korea TR,12490,3,0,0.0,12490.0,-7.6867,0,0,15350
273130,6,KODEX 종합채권(AA-이상)액티브,107640,3,0,0.0,107649.0,-1.9583,0,0,15163
214980,6,KODEX 단기채권PLUS,103280,3,0,0.0,103287.0,0.1114,0,0,14872
310970,1,TIGER MSCI Korea TR,15635,3,0,0.0,15691.0,-8.2454,0,0,13665
292150,2,TIGER TOP10,13445,3,0,0.0,13458.0,-7.911,0,0,13506
305540,2,TIGER 2차전지테마,24330,3,0,0.0,24343.0,13.9044,0,0,13211
278530,1,KODEX 200TR,12790,3,0,0.0,12821.0,-7.8199,0,0,12585
305720,2,KODEX 2차전지산업,24490,3,0,0.0,24573.0,9.2571,0,0,12392
114800,3,KODEX 인버스,4095,3,0,0.0,4093.0,7.3394,0,0,11458
148020,1,KBSTAR 200,39130,3,0,0.0,39177.0,-7.5706,0,0,10624
360750,4,TIGER 미국S&P500,13820,3,0,0.0,,6.4632,0,0,8914
139260,2,TIGER 200 IT,35105,3,0,0.0,35185.0,-6.908,0,0,8910
381170,4,TIGER 미국테크TOP10 INDXX,12675,3,0,0.0,,10.8439,0,0,8841
233740,1,KODEX 코스닥150 레버리지,15875,3,0,0.0,16099.0,-0.22,0,0,7652
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),12700,3,0,0.0,,10.579,0,0,7427
152100,1,ARIRANG 200,39670,3,0,0.0,39713.0,-7.5723,0,0,7220
091180,2,KODEX 자동차,21345,3,0,0.0,21341.0,-7.8567,0,0,7012
105190,1,KINDEX 200,39295,3,0,0.0,39308.0,-7.4759,0,0,6798
381180,4,TIGER 미국필라델피아반도체나스닥,12015,3,0,0.0,,15.0862,0,0,6482
069660,1,KOSEF 200,39030,3,0,0.0,39048.0,-7.6104,0,0,6284
293180,1,HANARO 200,39055,3,0,0.0,39096.0,-7.5819,0,0,6073
364980,2,TIGER KRX2차전지K-뉴딜,17830,3,0,0.0,17884.0,-1.2189,0,0,5768
315930,2,KODEX Top5PlusTR,18140,3,0,0.0,18126.0,-4.3249,0,0,5224
294400,1,KOSEF 200TR,46540,3,0,0.0,46598.0,-7.6313,0,0,5143
314250,4,KODEX 미국FANG플러스(H),31115,3,0,0.0,,10.7689,0,0,4885
251340,3,KODEX 코스닥150선물인버스,4175,3,0,0.0,4176.0,-2.794,0,0,4668
360200,4,KINDEX 미국S&P500,13920,3,0,0.0,,6.6584,0,0,4635
364960,2,TIGER KRX BBIG K-뉴딜,12445,3,0,0.0,12450.0,-9.7862,0,0,3976
226490,1,KODEX 코스피,29910,3,0,0.0,29917.0,-7.0974,0,0,3769
196230,6,KBSTAR 단기통안채,104675,3,0,0.0,104670.0,0.1482,0,0,3745
385540,6,KBSTAR KIS종합채권(A-이상)액티브,99290,3,0,0.0,99224.0,-1.9213,0,0,3745
