종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
069500,1,KODEX 200,34985,2,615,1.79,34996.0,-4.7898,2890134,100808,49924,국내 시장지수,KODEX,False,False,False
371460,4,TIGER 차이나전기차SOLACTIVE,13770,2,220,1.62,13839.0,-10.4973,8679550,119645,34882,해외 주식,TIGER,False,False,False
122630,3,KODEX 레버리지,18525,2,685,3.84,18578.0,-10.7229,17659848,323888,22165,국내 파생,KODEX,False,True,False
133690,4,TIGER 미국나스닥100,68205,2,185,0.27,67430.0,-10.5943,235839,16067,19513,해외 주식,TIGER,False,False,False
214980,6,KODEX 단기채권PLUS,103885,2,5,0.0,103882.0,0.2654,1372,142,18969,채권,KODEX,False,False,False
252670,3,KODEX 200선물인버스2X,2630,5,-105,-3.84,2632.0,8.4536,230857598,614021,18636,국내 파생,KODEX,True,False,False
102110,1,TIGER 200,35045,2,615,1.79,35051.0,-4.7768,673318,23542,18101,국내 시장지수,TIGER,False,False,False
157450,6,TIGER 단기통안채,100870,2,10,0.01,100866.0,0.2484,40760,4111,17921,채권,TIGER,False,False,False
360750,4,TIGER 미국S&P500,12520,5,-70,-0.56,12433.0,-5.2592,2011132,25181,15575,해외 주식,TIGER,False,False,False
153130,6,KODEX 단기채권,103425,5,-10,-0.01,103432.0,0.1937,3413747,353100,14624,채권,KODEX,False,False,False
102780,2,KODEX 삼성그룹,8975,2,90,1.01,9000.0,-0.0223,289454,2596,14288,국내 업종/테마,KODEX,False,False,False
273130,6,KODEX 종합채권(AA-이상)액티브,103260,2,95,0.09,103307.0,-2.6768,1648,170,14059,채권,KODEX,False,False,False
305720,2,KODEX 2차전지산업,20460,2,655,3.31,20521.0,10.7802,3325193,67588,13831,국내 업종/테마,KODEX,False,False,False
305540,2,TIGER 2차전지테마,21285,2,535,2.58,21366.0,13.6654,3842176,81443,13814,국내 업종/테마,TIGER,False,False,False
381180,4,TIGER 미국필라델피아반도체나스닥,10010,2,65,0.65,9850.0,-10.1679,1928490,19242,13519,해외 주식,TIGER,False,False,False
310970,1,TIGER MSCI Korea TR,14295,2,250,1.78,14300.0,-5.2998,4522,64,13223,국내 시장지수,TIGER,False,False,False
381170,4,TIGER 미국테크TOP10 INDXX,9925,5,-60,-0.6,9815.0,-13.6957,1202213,11931,12277,해외 주식,TIGER,False,False,False
278530,1,KODEX 200TR,11660,2,210,1.83,11655.0,-4.894,19677,228,12068,국내 시장지수,KODEX,False,False,False
292150,2,TIGER TOP10,11500,2,235,2.09,11498.0,-7.534,375809,4300,11851,국내 업종/테마,TIGER,False,False,False
148020,1,KBSTAR 200,35180,2,650,1.88,35177.0,-4.9832,143532,5043,9762,국내 시장지수,KBSTAR,False,False,False
233740,3,KODEX 코스닥150레버리지,10925,2,640,6.22,11075.0,0.9237,14443593,155661,9701,국내 파생,KODEX,False,True,False
139260,2,TIGER 200 IT,31720,2,620,1.99,31696.0,-7.0422,96788,3050,8285,국내 업종/테마,TIGER,False,False,False
114800,3,KODEX 인버스,4450,5,-90,-1.98,4454.0,4.46,43166874,193390,7645,국내 파생,KODEX,True,False,False
278540,1,KODEX MSCI Korea TR,11355,2,175,1.57,11384.0,-5.4932,347947,3950,7540,국내 시장지수,KODEX,False,False,False
105190,1,KINDEX 200,35080,2,630,1.83,35073.0,-4.8369,183766,6436,7226,국내 시장지수,KINDEX,False,False,False
091180,2,KODEX 자동차,18500,2,355,1.96,18539.0,-0.3072,313998,5793,7030,국내 업종/테마,KODEX,False,False,False
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),10270,2,180,1.78,10294.0,0.1951,254621,2608,6984,해외 주식,TIGER,False,False,False
