종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
069500,1,KODEX 200,40005,2,200,0.5,40023.0,-3.7853,865590,34530,49966,국내 시장지수,KODEX,False,False,False
371460,4,TIGER 차이나전기차SOLACTIVE,19515,2,140,0.72,,9.7733,416412,8114,29772,해외 주식,TIGER,False,False,False
252670,3,KODEX 200선물인버스2X,2155,5,-20,-0.92,2151.0,6.0975,38673959,83728,22222,국내 파생,KODEX,True,False,False
102110,1,TIGER 200,40025,2,195,0.49,40059.0,-3.7691,147027,5867,21674,국내 시장지수,TIGER,False,False,False
153130,6,KODEX 단기채권,103035,2,10,0.01,103036.0,0.1263,1159,119,19444,채권,KODEX,False,False,False
122630,3,KODEX 레버리지,24085,2,235,0.99,24182.0,-8.6032,3981771,95375,19123,국내 파생,KODEX,False,True,False
278540,1,KODEX MSCI Korea TR,12835,2,45,0.35,12869.0,-3.8708,305133,3913,18649,국내 시장지수,KODEX,False,False,False
133690,4,TIGER 미국나스닥100,86230,5,-185,-0.21,,5.5708,26273,2264,17487,해외 주식,TIGER,False,False,False
273130,6,KODEX 종합채권(AA-이상)액티브,108310,5,-20,-0.02,108297.0,-1.0053,289,31,15114,채권,KODEX,False,False,False
157450,6,TIGER 단기통안채,100455,2,10,0.01,100451.0,0.1495,111,11,14867,채권,TIGER,False,False,False
310970,1,TIGER MSCI Korea TR,16095,2,20,0.12,16165.0,-3.656,35,0,13552,국내 시장지수,TIGER,False,False,False
102780,2,KODEX 삼성그룹,9950,2,30,0.3,9976.0,-4.7985,42988,427,13164,국내 업종/테마,KODEX,False,False,False
305720,2,KODEX 2차전지산업,23300,2,115,0.5,23347.0,7.6869,437375,10162,13001,국내 업종/테마,KODEX,False,False,False
278530,1,KODEX 200TR,13130,2,65,0.5,13133.0,-3.8985,8282,108,12999,국내 시장지수,KODEX,False,False,False
305540,2,TIGER 2차전지테마,23765,2,150,0.64,23778.0,13.479,400166,9467,12702,국내 업종/테마,TIGER,False,False,False
214980,6,KODEX 단기채권PLUS,103335,2,20,0.02,103333.0,0.1065,180273,18628,12016,채권,KODEX,False,False,False
381170,4,TIGER 미국테크TOP10 INDXX,13090,2,15,0.11,,6.9967,281385,3680,11244,해외 주식,TIGER,False,False,False
148020,1,KBSTAR 200,40135,2,195,0.49,40157.0,-3.7289,23329,933,11097,국내 시장지수,KBSTAR,False,False,False
360750,4,TIGER 미국S&P500,13895,5,-35,-0.25,,5.1717,143325,1990,10810,해외 주식,TIGER,False,False,False
114800,3,KODEX 인버스,3995,5,-15,-0.37,3993.0,3.2175,11814004,47309,10802,국내 파생,KODEX,True,False,False
139260,2,TIGER 200 IT,36790,2,240,0.66,36899.0,-1.0156,67888,2490,9352,국내 업종/테마,TIGER,False,False,False
381180,4,TIGER 미국필라델피아반도체나스닥,12550,5,-80,-0.63,,17.5977,246575,3092,9224,해외 주식,TIGER,False,False,False
292150,2,TIGER TOP10,13775,2,95,0.69,13789.0,-3.662,55341,760,9030,국내 업종/테마,TIGER,False,False,False
233740,1,KODEX 코스닥150 레버리지,16305,2,285,1.78,16531.0,-0.8664,2829142,45806,7843,국내 시장지수,KODEX,False,True,False
091180,2,KODEX 자동차,20950,2,215,1.04,20992.0,-9.6515,112186,2345,7636,국내 업종/테마,KODEX,False,False,False
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),12165,2,65,0.54,,8.6663,113334,1378,7591,해외 주식,TIGER,False,False,False
152100,1,ARIRANG 200,40715,2,225,0.56,40702.0,-3.7786,15677,635,7227,국내 시장지수,ARIRANG,False,False,False
105190,1,KINDEX 200,40275,2,230,0.57,40261.0,-3.8074,2285,91,6847,국내 시장지수,KINDEX,False,False,False
315930,2,KODEX Top5PlusTR,19030,2,105,0.55,19035.0,0.3446,508,9,6813,국내 업종/테마,KODEX,False,False,False
293180,1,HANARO 200,40025,2,180,0.45,40071.0,-3.7468,15707,628,6444,국내 시장지수,HANARO,False,False,False
364980,2,TIGER KRX2차전지K-뉴딜,17325,2,115,0.67,17354.0,0.0,210641,3634,5527,국내 업종/테마,TIGER,False,False,False
360200,4,KINDEX 미국S&P500,13990,5,-40,-0.29,,5.1645,27142,379,5470,해외 주식,KINDEX,False,False,False
294400,1,KOSEF 200TR,47760,2,245,0.52,47749.0,-3.7671,125,5,5254,국내 시장지수,KOSEF,False,False,False
314250,4,KODEX 미국FANG플러스(H),30210,2,60,0.2,,1.5151,29011,876,5136,해외 주식,KODEX,False,False,True
069660,1,KOSEF 200,40010,2,180,0.45,40015.0,-3.7644,57,2,5101,국내 시장지수,KOSEF,False,False,False
251340,3,KODEX 코스닥150선물인버스,4085,5,-40,-0.97,4084.0,-2.1353,9532224,39078,4400,국내 파생,KODEX,True,False,False
401470,2,KODEX K-메타버스액티브,12960,2,320,2.53,12989.0,,1284982,16576,4303,국내 업종/테마,KODEX,False,False,False
400970,2,TIGER Fn메타버스,12680,2,205,1.64,12701.0,,620461,7867,4267,국내 업종/테마,TIGER,False,False,False
226490,1,KODEX 코스피,30440,2,185,0.61,30448.0,-4.8585,10245,310,3866,국내 시장지수,KODEX,False,False,False
385540,6,KBSTAR KIS종합채권(A-이상)액티브,99920,2,45,0.05,99866.0,-1.011,1,0,3800,채권,KBSTAR,False,False,False
196230,6,KBSTAR 단기통안채,104730,2,10,0.01,104725.0,0.1482,284290,29773,3762,채권,KBSTAR,False,False,False
364960,2,TIGER KRX BBIG K-뉴딜,12060,2,90,0.75,12070.0,-8.4863,160762,1933,3672,국내 업종/테마,TIGER,False,False,False
251350,4,KODEX 선진국MSCI World,21175,5,-85,-0.4,,2.7301,2309,48,3600,해외 주식,KODEX,False,False,False
229200,1,KODEX 코스닥 150,15010,2,130,0.87,15226.0,-0.3016,340921,5095,3572,국내 시장지수,KODEX,False,False,False
367380,4,KINDEX 미국나스닥100,14790,5,-35,-0.24,,5.516,32555,481,3535,해외 주식,KINDEX,False,False,False
332500,1,KINDEX 200TR,24505,2,160,0.66,24502.0,-3.9077,72,1,3504,국내 시장지수,KINDEX,False,False,False
367770,2,KBSTAR Fn수소경제테마,11550,2,115,1.01,11573.0,-11.4596,18762,215,3419,국내 업종/테마,KBSTAR,False,False,False
290130,2,KBSTAR ESG사회책임투자,13120,2,65,0.5,13154.0,-2.2098,2660,34,3392,국내 업종/테마,KBSTAR,False,False,False
371160,4,TIGER 차이나항셍테크,7840,2,30,0.38,,-12.2965,68315,535,3226,해외 주식,TIGER,False,False,False
332940,1,HANARO MSCI Korea TR,16105,2,100,0.62,16146.0,-3.7583,9,0,3140,국내 시장지수,HANARO,False,False,False
091170,2,KODEX 은행,7550,5,-15,-0.2,7567.0,2.8552,283220,2130,3077,국내 업종/테마,KODEX,False,False,False
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),19465,5,-15,-0.08,,-0.2561,920,17,2569,해외 주식,TIGER,False,False,True
