종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
069500,1,KODEX 200,35820,5,-65,-0.18,35945.0,-9.4728,4131468,148087,50703,국내 시장지수,KODEX,False,False,False
371460,4,TIGER 차이나전기차SOLACTIVE,14375,5,-375,-2.54,14242.0,-24.6873,4822575,69401,30849,해외 주식,TIGER,False,False,False
122630,3,KODEX 레버리지,19095,5,-55,-0.29,19171.0,-19.4194,17264226,329575,21043,국내 파생,KODEX,False,True,False
102110,1,TIGER 200,35850,5,-75,-0.21,35957.0,-9.3856,5431458,194743,20022,국내 시장지수,TIGER,False,False,False
252670,3,KODEX 200선물인버스2X,2605,2,10,0.39,2607.0,19.3103,136940456,356883,19793,국내 파생,KODEX,True,False,False
133690,4,TIGER 미국나스닥100,74180,5,-815,-1.09,73973.0,-12.2229,174701,12933,19576,해외 주식,TIGER,False,False,False
278540,1,KODEX MSCI Korea TR,11425,5,-30,-0.26,11451.0,-10.3678,420027,4789,16669,국내 시장지수,KODEX,False,False,False
153130,6,KODEX 단기채권,103320,3,0,0.0,103315.0,0.2668,18297,1890,15686,채권,KODEX,False,False,False
102780,2,KODEX 삼성그룹,8705,2,25,0.29,8734.0,-12.6761,274536,2374,14912,국내 업종/테마,KODEX,False,False,False
360750,4,TIGER 미국S&P500,13260,2,25,0.19,13143.0,-4.323,917042,12079,14075,해외 주식,TIGER,False,False,False
273130,6,KODEX 종합채권(AA-이상)액티브,106305,5,-25,-0.02,106261.0,-1.9729,1987,211,13973,채권,KODEX,False,False,False
157450,6,TIGER 단기통안채,100700,2,10,0.01,100697.0,0.2289,784040,78948,13770,채권,TIGER,False,False,False
381170,4,TIGER 미국테크TOP10 INDXX,11195,5,-100,-0.89,11118.0,-13.1154,670764,7459,12667,해외 주식,TIGER,False,False,False
310970,1,TIGER MSCI Korea TR,14370,5,-20,-0.14,14380.0,-10.5656,1207,17,12588,국내 시장지수,TIGER,False,False,False
381180,4,TIGER 미국필라델피아반도체나스닥,10600,5,-85,-0.8,10511.0,-13.8098,797601,8394,11406,해외 주식,TIGER,False,False,False
305720,2,KODEX 2차전지산업,16660,5,-740,-4.25,16696.0,-23.8012,2296546,38167,10929,국내 업종/테마,KODEX,False,False,False
305540,2,TIGER 2차전지테마,17155,5,-670,-3.76,17117.0,-23.5963,1768049,30183,10567,국내 업종/테마,TIGER,False,False,False
292150,2,TIGER TOP10,11785,2,20,0.17,11777.0,-14.1241,281590,3303,10424,국내 업종/테마,TIGER,False,False,False
214980,6,KODEX 단기채권PLUS,103730,2,5,0.0,103734.0,0.3774,2407,249,10356,채권,KODEX,False,False,False
148020,1,KBSTAR 200,36035,5,-85,-0.24,36143.0,-9.123,69446,2499,9495,국내 시장지수,KBSTAR,False,False,False
114800,3,KODEX 인버스,4420,2,10,0.23,4419.0,9.7014,27272997,120490,9335,국내 파생,KODEX,True,False,False
233740,3,KODEX 코스닥150 레버리지,10750,5,-575,-5.08,10915.0,-28.7288,12175769,133486,9116,국내 파생,KODEX,False,True,False
278530,1,KODEX 200TR,11780,5,-20,-0.17,11804.0,-9.5439,97538,1147,8959,국내 시장지수,KODEX,False,False,False
139260,2,TIGER 200 IT,32030,5,-55,-0.17,32017.0,-12.575,134472,4273,8257,국내 업종/테마,TIGER,False,False,False
293180,1,HANARO 200,35885,5,-50,-0.14,35995.0,-9.5543,100339,3603,6908,국내 시장지수,HANARO,False,False,False
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),9585,5,-225,-2.29,9558.0,-18.5893,166498,1600,6525,해외 주식,TIGER,False,False,False
091180,2,KODEX 자동차,17250,5,-345,-1.96,17288.0,-16.0745,400478,6906,6365,국내 업종/테마,KODEX,False,False,False
105190,1,KINDEX 200,36130,5,-75,-0.21,36213.0,-9.5215,200466,7228,5889,국내 시장지수,KINDEX,False,False,False
152100,1,ARIRANG 200,36600,5,-60,-0.16,36704.0,-9.336,6673,243,5856,국내 시장지수,ARIRANG,False,False,False
315930,2,KODEX Top5PlusTR,17530,5,-55,-0.31,17540.0,-7.0069,16922,295,5610,국내 업종/테마,KODEX,False,False,False
229200,1,KODEX 코스닥 150,12310,5,-290,-2.3,12443.0,-15.0371,3314539,41024,5558,국내 시장지수,KODEX,False,False,False
196230,6,KBSTAR 단기통안채,105040,2,5,0.0,105033.0,0.296,68262,7169,5485,채권,KBSTAR,False,False,False
360200,4,KINDEX 미국S&P500,13360,2,30,0.23,13243.0,-4.465,168361,2235,5317,해외 주식,KINDEX,False,False,False
190620,6,KINDEX 단기통안채,100330,2,10,0.01,100323.0,0.2698,708,71,4566,채권,KINDEX,False,False,False
294400,1,KOSEF 200TR,42745,5,-140,-0.33,42899.0,-9.6017,8766,374,4424,국내 시장지수,KOSEF,False,False,False
401470,2,KODEX K-메타버스액티브,10580,5,-260,-2.4,10604.0,-15.5106,1131304,12099,4380,국내 업종/테마,KODEX,False,False,False
400970,2,TIGER Fn메타버스,10715,5,-150,-1.38,10731.0,-13.4263,1327739,14293,4275,국내 업종/테마,TIGER,False,False,False
069660,1,KOSEF 200,35860,5,-75,-0.21,35943.0,-9.5975,5989,214,4052,국내 시장지수,KOSEF,False,False,False
314250,4,KODEX 미국FANG플러스(H),22455,5,-840,-3.61,22380.0,-21.8813,149219,3341,4031,해외 주식,KODEX,False,False,True
251340,3,KODEX 코스닥150선물인버스,4755,2,125,2.7,4768.0,12.1065,31168038,146826,3975,국내 파생,KODEX,True,False,False
385540,6,KBSTAR KIS종합채권(A-이상)액티브,98010,5,-150,-0.15,97964.0,-1.8548,11,1,3971,채권,KBSTAR,False,False,False
364980,2,TIGER KRX2차전지K-뉴딜,12315,5,-265,-2.11,12302.0,-26.903,901776,11065,3811,국내 업종/테마,TIGER,False,False,False
226490,1,KODEX 코스피,27100,5,-120,-0.44,27135.0,-10.2835,37395,1013,3686,국내 시장지수,KODEX,False,False,False
367380,4,KINDEX 미국나스닥100,12780,5,-105,-0.81,12703.0,-12.1018,144216,1836,3668,해외 주식,KINDEX,False,False,False
251350,4,KODEX 선진국MSCI World,20250,2,25,0.12,20056.0,-4.3283,56811,1146,3645,해외 주식,KODEX,False,False,False
379800,4,KODEX 미국S&P500TR,11660,2,40,0.34,11553.0,-4.4801,390769,4526,3521,해외 주식,KODEX,False,False,False
379810,4,KODEX 미국나스닥100TR,10960,5,-70,-0.63,10880.0,-12.1466,207751,2262,3124,해외 주식,KODEX,False,False,False
295040,1,SOL 200TR,12245,5,-35,-0.29,12287.0,-9.6395,171667,2101,2976,국내 시장지수,SOL,False,False,False
272580,6,TIGER 단기채권액티브,50410,3,0,0.0,50408.0,0.3483,2165388,109154,2971,채권,TIGER,False,False,False
414780,4,TIGER 차이나과창판STAR50(합성),8955,5,-145,-1.59,8947.0,,153432,1366,2928,해외 주식,TIGER,False,False,False
367770,2,KBSTAR Fn수소경제테마,10045,5,-75,-0.74,10043.0,-11.9235,131140,1314,2923,국내 업종/테마,KBSTAR,False,False,False
290130,2,KBSTAR ESG사회책임투자,12025,5,-80,-0.66,12036.0,-7.4542,11957,143,2898,국내 업종/테마,KBSTAR,False,False,False
332940,1,HANARO MSCI Korea TR,14325,5,-35,-0.24,14369.0,-10.3621,50,0,2879,국내 시장지수,HANARO,False,False,False
364960,2,TIGER KRX BBIG K-뉴딜,8905,5,-55,-0.61,8896.0,-25.7049,348818,3107,2747,국내 업종/테마,TIGER,False,False,False
385550,6,KBSTAR KIS단기종합채권(AA-이상)액티브,100680,5,-15,-0.01,100691.0,0.4689,538746,54247,2736,채권,KBSTAR,False,False,False
371160,4,TIGER 차이나항셍테크,5380,5,-365,-6.35,5289.0,-27.3705,2485019,13498,2720,해외 주식,TIGER,False,False,False
143850,4,TIGER 미국S&P500선물(H),49770,5,-275,-0.55,49708.0,-8.485,22181,1101,2712,해외 주식,TIGER,False,False,True
357870,7,TIGER CD금리투자KIS(합성),50685,3,0,0.0,50687.0,0.2968,182,9,2465,기타,TIGER,False,False,False
329750,6,TIGER 미국달러단기채권액티브,10600,2,80,0.76,10597.0,4.1584,93114,984,2377,채권,TIGER,False,False,False
091170,2,KODEX 은행,7665,2,50,0.66,7677.0,1.5333,1096702,8389,2357,국내 업종/테마,KODEX,False,False,False
148070,6,KOSEF 국고채10년,115505,5,-275,-0.24,115489.0,-3.4282,6992,807,2322,채권,KOSEF,False,False,False
132030,5,KODEX 골드선물(H),13350,5,-90,-0.67,13371.0,12.3276,224015,2989,2310,원자재,KODEX,False,False,True
091160,2,KODEX 반도체,33875,5,-830,-2.39,33911.0,-5.974,143650,4878,2304,국내 업종/테마,KODEX,False,False,False
394660,4,TIGER 글로벌자율주행&전기차SOLACTIVE,9970,5,-115,-1.14,9939.0,-12.6084,69347,690,2261,해외 주식,TIGER,False,False,False
390950,6,HANARO 단기채권액티브,100525,3,0,0.0,100528.0,0.2343,181,18,2225,채권,HANARO,False,False,False
401170,2,KBSTAR iSelect메타버스,9940,5,-145,-1.44,9940.0,-16.3418,113208,1131,2199,국내 업종/테마,KBSTAR,False,False,False
407310,1,HANARO 200 TOP10,8295,2,35,0.42,8325.0,-17.1099,196,1,2190,국내 시장지수,HANARO,False,False,False
332500,1,KINDEX 200TR,21945,5,-85,-0.39,22032.0,-9.5463,11875,260,2151,국내 시장지수,KINDEX,False,False,False
228800,2,TIGER 여행레저,4955,5,-90,-1.78,4927.0,3.4871,2524011,12558,2132,국내 업종/테마,TIGER,False,False,False
245710,4,KINDEX 베트남VN30(합성),22900,5,-430,-1.84,23179.0,1.811,29040,669,2130,해외 주식,KINDEX,False,False,False
415340,4,KODEX 차이나과창판STAR50(합성),8975,5,-40,-0.44,9089.0,,22837,204,2109,해외 주식,KODEX,False,False,False
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),16085,5,-210,-1.29,16016.0,-15.8534,11972,192,2075,해외 주식,TIGER,False,False,True
161510,2,ARIRANG 고배당주,12645,2,65,0.52,12657.0,0.7609,55354,699,1999,국내 업종/테마,ARIRANG,False,False,False
168580,4,KINDEX 중국본토CSI300,29015,5,-550,-1.86,28821.0,-10.8683,3129,90,1944,해외 주식,KINDEX,False,False,False
412770,4,TIGER 글로벌메타버스액티브,7940,5,-120,-1.49,7868.0,,270778,2144,1929,해외 주식,TIGER,False,False,False
182480,7,TIGER 미국MSCI리츠(합성 H),15210,5,-75,-0.49,15172.0,-3.4246,30322,461,1924,기타,TIGER,False,False,True
368590,4,KBSTAR 미국나스닥100,12400,5,-100,-0.8,12330.0,-12.1266,124344,1532,1872,해외 주식,KBSTAR,False,False,False
325020,2,KODEX 배당가치,12725,5,-15,-0.12,12720.0,-2.8223,1162,14,1820,국내 업종/테마,KODEX,False,False,False
192090,4,TIGER 차이나CSI300,10675,5,-185,-1.7,10652.0,-11.9793,54375,583,1809,해외 주식,TIGER,False,False,False
302450,1,KBSTAR 코스피,27250,5,-150,-0.55,27237.0,-9.5859,482,13,1730,국내 시장지수,KBSTAR,False,False,False
